glyph,en_tts,zh_tts,en_keywords,zh_keywords,source
◢,filled lower right triangle,实心右下三角,filled | lower | right | triangle,实心右下三角,CLDR release-46 annotations
◣,filled lower left triangle,实心左下三角,filled | left | lower | triangle,实心左下三角,CLDR release-46 annotations
◤,filled upper left triangle,实心左上三角,filled | left | triangle | upper,实心左上三角,CLDR release-46 annotations
◥,filled upper right triangle,实心右上三角,filled | right | triangle | upper,实心右上三角,CLDR release-46 annotations
◦,hollow bullet,空心项目符号,bullet | hollow,空心项目符号,CLDR release-46 annotations
◯,large hollow circle,大空心圆,circle | hollow | large | ring,圆 | 大空心圆 | 环形,CLDR release-46 annotations
◳,hollow square upper right quadrant,右上象限空心方形,hollow | quadrant | right | square | upper,右上象限空心方形,CLDR release-46 annotations
◷,hollow circle with upper right quadrant,右上象限空心圆圈,circle | hollow | quadrant | right | upper | with,右上象限空心圆圈,CLDR release-46 annotations
◻,white medium square,白色中方块,geometric | medium | square | white,中等 | 方形 | 正方形 | 白色 | 白色中方块,CLDR release-46 annotations
◼,black medium square,黑色中方块,black | geometric | medium | square,中等 | 几何 | 方形 | 正方形 | 黑色 | 黑色中方块,CLDR release-46 annotations
◽,white medium-small square,白色中小方块,geometric | medium-small | square | white,中小 正方形 | 几何 | 方形 | 白色 | 白色中小方块,CLDR release-46 annotations
◾,black medium-small square,黑色中小方块,black | geometric | medium-small | square,中小 | 方形 | 正方形 | 黑色 | 黑色中小方块,CLDR release-46 annotations
◿,lower right triangle,右下三角,lower | right | triangle,右下三角,CLDR release-46 annotations
☀,sun,太阳,bright | rays | space | sun | sunny | weather,光线 | 太阳 | 晴 | 晴天 | 阳光明媚 | 阳光普照,CLDR release-46 annotations
☁,cloud,云,cloud | weather,云 | 云彩 | 云朵 | 天气 | 阴,CLDR release-46 annotations
☂,umbrella,伞,clothing | rain | umbrella,伞 | 雨 | 雨伞,CLDR release-46 annotations
☃,snowman,雪与雪人,cold | man | snow | snowman,泠 | 雪 | 雪与雪人 | 雪人,CLDR release-46 annotations
☄,comet,彗星,comet | space,太空 | 彗星,CLDR release-46 annotations
☎,telephone,电话,phone | telephone,固定电话 | 固话 | 座机 | 电话,CLDR release-46 annotations
☑,check box with check,勾选框,✓ | ballot | box | check | checked | done | off | tick,做好 | 勾号 | 勾选 | 勾选框 | 复选框 | 带勾方格 | 打勾 | 搞定 | 选票,CLDR release-46 annotations
☔,umbrella with rain drops,雨伞,clothing | drop | drops | rain | umbrella | weather,下雨 | 伞 | 雨伞 | 雨滴,CLDR release-46 annotations
☕,hot beverage,热饮,beverage | cafe | caffeine | chai | coffee | drink | hot | morning | steaming | tea,咖啡 | 早晨 | 星巴克 | 热气腾腾 | 热饮 | 茶 | 饮料,CLDR release-46 annotations
☘,shamrock,三叶草,irish | plant | shamrock,三叶草 | 爱尔兰 | 苜蓿 | 酢浆草,CLDR release-46 annotations
☝,index pointing up,食指向上指,finger | hand | index | point | pointing | this | up,向上指 | 手 | 指上 | 食指 | 食指向上指,CLDR release-46 annotations
☠,skull and crossbones,骷髅,bone | crossbones | dead | death | face | monster | skull,交叉股骨 | 头骨 | 妖怪 | 怪物 | 死亡 | 海盗 | 脸 | 骨头 | 骷髅,CLDR release-46 annotations
☢,radioactive,辐射,radioactive | sign,放射性 | 标识 | 辐射,CLDR release-46 annotations
☣,biohazard,生物危害,biohazard | sign,动物 | 当心感染 | 污染 | 生物危害 | 警告,CLDR release-46 annotations
☦,orthodox cross,东正教十字架,Christian | cross | orthodox | religion,东正教 | 东正教十字架 | 十字架 | 基督 | 宗教 | 正教会十字,CLDR release-46 annotations
☪,star and crescent,星月,crescent | islam | Muslim | ramadan | religion | star,伊斯兰 | 宗教 | 斋戒月 | 星月 | 穆斯林,CLDR release-46 annotations
☮,peace symbol,和平符号,healing | peace | peaceful | symbol,和平 | 和平符号,CLDR release-46 annotations
☯,yin yang,阴阳,difficult | lives | religion | tao | taoist | total | yang | yin | yinyang,太极 | 宗教 | 道 | 道教 | 阳 | 阴 | 阴阳,CLDR release-46 annotations
☸,wheel of dharma,法轮,Buddhist | dharma | religion | wheel,佛 | 宗教 | 法轮 | 舵 | 轮盘 | 达摩,CLDR release-46 annotations
☹,frowning face,不满,face | frown | frowning | sad,不满 | 不爽 | 不高兴 | 委屈 | 皱眉 | 皱眉的脸 | 脸,CLDR release-46 annotations
☺,smiling face,微笑,face | happy | outlined | relaxed | smile | smiling,呵呵 | 开心 | 微笑 | 放松 | 笑 | 脸,CLDR release-46 annotations
♀,female sign,女性符号,female | sign | woman,女性符号 | 符号 | 雌性,CLDR release-46 annotations
♂,male sign,男性符号,male | man | sign,男性符号 | 符号 | 雄性,CLDR release-46 annotations
♈,Aries,白羊座,Aries | horoscope | ram | zodiac,公羊 | 星座 | 牡羊座 | 白羊座,CLDR release-46 annotations
♉,Taurus,金牛座,bull | horoscope | ox | Taurus | zodiac,公牛 | 星座 | 金牛 | 金牛座,CLDR release-46 annotations
♊,Gemini,双子座,Gemini | horoscope | twins | zodiac,双子 | 双子座 | 孪生子 | 星座,CLDR release-46 annotations
♋,Cancer,巨蟹座,Cancer | crab | horoscope | zodiac,巨蟹 | 巨蟹座 | 星座 | 螃蟹,CLDR release-46 annotations
♌,Leo,狮子座,horoscope | Leo | lion | zodiac,星座 | 狮子座 | 雄狮,CLDR release-46 annotations
♍,Virgo,处女座,horoscope | Virgo | zodiac,处女座 | 室女座 | 星座 | 黄道十二宫,CLDR release-46 annotations
♎,Libra,天秤座,balance | horoscope | justice | Libra | scales | zodiac,天秤座 | 平衡 | 星座 | 正义,CLDR release-46 annotations
♏,Scorpio,天蝎座,horoscope | Scorpio | scorpion | Scorpius | zodiac,天蝎 | 天蝎座 | 星座 | 蝎子,CLDR release-46 annotations
♐,Sagittarius,射手座,archer | horoscope | Sagittarius | zodiac,人马座 | 射手 | 射手座 | 弓箭手 | 星座,CLDR release-46 annotations
♑,Capricorn,摩羯座,Capricorn | goat | horoscope | zodiac,天宫图 | 山羊 | 摩羯 | 摩羯座 | 星座,CLDR release-46 annotations
♒,Aquarius,水瓶座,Aquarius | bearer | horoscope | water | zodiac,星座 | 水 | 水瓶座,CLDR release-46 annotations
♓,Pisces,双鱼座,fish | horoscope | Pisces | zodiac,双鱼 | 双鱼座 | 星座 | 鱼,CLDR release-46 annotations
♟,chess pawn,兵,chess | dupe | expendable | pawn,兵 | 受骗者 | 国际象棋 | 牺牲品,CLDR release-46 annotations
♠,spade suit,黑桃,card | game | spade | suit,扑克 | 牌 | 葵扇 | 黑桃 | 黑桃花色,CLDR release-46 annotations
♣,club suit,梅花,card | club | clubs | game | suit,扑克 | 梅花 | 梅花花色 | 牌 | 草花,CLDR release-46 annotations
♥,heart suit,红桃,card | emotion | game | heart | hearts | suit,扑克 | 牌 | 红心 | 红桃 | 红桃花色,CLDR release-46 annotations
♦,diamond suit,方片,card | diamond | game | suit,扑克 | 方块 | 方片 | 牌 | 牌局,CLDR release-46 annotations
♨,hot springs,温泉,hot | hotsprings | springs | steaming,水 | 泉 | 温泉 | 热气腾腾 | 蒸汽,CLDR release-46 annotations
♪,eighth note,八分音符,eighth | music | note,八分音符 | 音乐 | 音符,CLDR release-46 annotations
♭,flat,降音符,bemolle | flat | music | note,降号 | 降音符 | 音乐 | 音符,CLDR release-46 annotations
♯,sharp,升号,dièse | diesis | music | note | sharp,升号 | 升音符 | 音乐 | 音符,CLDR release-46 annotations
♻,recycling symbol,回收标志,recycle | recycling | symbol,再利用 | 再生 | 回收 | 回收标志 | 循环,CLDR release-46 annotations
♾,infinity,无穷大,forever | infinity | unbounded | universal,宇宙 | 无尽 | 无穷大 | 极大,CLDR release-46 annotations
♿,wheelchair symbol,轮椅标识,access | handicap | symbol | wheelchair,无障碍 | 残疾 | 残障 | 轮椅 | 轮椅标识 | 轮椅符号,CLDR release-46 annotations
⚒,hammer and pick,锤子与镐,hammer | pick | tool,工具 | 铁锤 | 铁镐 | 锤子 | 锤子与镐 | 镐 | 镐子,CLDR release-46 annotations
⚓,anchor,锚,anchor | ship | tool,停泊 | 工具 | 船 | 锚,CLDR release-46 annotations
⚔,crossed swords,交叉放置的剑,crossed | swords | weapon,交叉 | 交叉放置的剑 | 剑 | 十字 | 双剑 | 战死 | 武器,CLDR release-46 annotations
⚕,medical symbol,医疗标志,aesculapius | medical | medicine | staff | symbol,医学 | 医疗 | 医疗标志 | 蛇杖 | 阿斯克勒庇俄斯 | 阿斯克勒庇俄斯蛇杖,CLDR release-46 annotations
⚖,balance scale,天平,balance | justice | Libra | scale | scales | tool | weight | zodiac,公平 | 公正 | 天平 | 天秤 | 天秤座 | 星座 | 正义 | 法律,CLDR release-46 annotations
⚗,alembic,蒸馏器,alembic | chemistry | tool,净化 | 化学 | 实验 | 工具 | 蒸馏 | 蒸馏器,CLDR release-46 annotations
⚙,gear,齿轮,cog | cogwheel | gear | tool,传动 | 工具 | 机械 | 零件 | 齿轮,CLDR release-46 annotations
⚛,atom symbol,原子符号,atheist | atom | symbol,原子 | 原子符号 | 无神论 | 物质,CLDR release-46 annotations
⚜,fleur-de-lis,百合花饰,fleur-de-lis | knights,百合花饰 | 鸢尾花,CLDR release-46 annotations
⚠,warning,警告,caution | warning,小心 | 警告,CLDR release-46 annotations
⚡,high voltage,高压,danger | electric | electricity | high | lightning | nature | thunder | thunderbolt | voltage | zap,危险 | 有电 | 闪电 | 高压,CLDR release-46 annotations
⚧,transgender symbol,跨性别符号,symbol | transgender,跨性别 | 跨性别符号,CLDR release-46 annotations
⚪,white circle,白色圆,circle | geometric | white,圆 | 圈 | 白 | 白圈 | 白色圆,CLDR release-46 annotations
⚫,black circle,黑色圆,black | circle | geometric,圆 | 圈 | 黑 | 黑色圆,CLDR release-46 annotations
⚰,coffin,棺材,coffin | dead | death | vampire,埋葬 | 棺材 | 死亡 | 灵柩 | 葬礼 | 陵墓,CLDR release-46 annotations
⚱,funeral urn,骨灰缸,ashes | death | funeral | urn,丧礼 | 死亡 | 瓮 | 缸 | 葬礼 | 骨灰 | 骨灰缸 | 骨灰罐,CLDR release-46 annotations
⚽,soccer ball,足球,ball | football | futbol | soccer | sport,大罗 | 梅西 | 球 | 球赛 | 罗纳尔多 | 胖罗 | 英式足球 | 足球 | 运动,CLDR release-46 annotations
⚾,baseball,棒球,ball | baseball | sport,棒球 | 球 | 运动,CLDR release-46 annotations
⛄,snowman without snow,雪人,cold | man | snow | snowman,下雪 | 泠 | 雪人,CLDR release-46 annotations
⛅,sun behind cloud,阴,behind | cloud | cloudy | sun | weather,乌云蔽日 | 多云 | 阴,CLDR release-46 annotations
⛈,cloud with lightning and rain,雷阵雨,cloud | lightning | rain | thunder | thunderstorm,暴风雨 | 阵雨 | 雨 | 雷 | 雷暴 | 雷阵雨,CLDR release-46 annotations
⛎,Ophiuchus,蛇夫座,bearer | Ophiuchus | serpent | snake | zodiac,星座 | 蛇 | 蛇夫 | 蛇夫座,CLDR release-46 annotations
⛏,pick,铁镐,hammer | mining | pick | tool,工具 | 挖 | 挖掘 | 采矿 | 铁镐 | 锄头 | 鹤嘴锄,CLDR release-46 annotations
⛑,rescue worker’s helmet,白十字头盔,aid | cross | face | hat | helmet | rescue | worker’s,十字 | 头盔 | 安全帽 | 救援人员头盔 | 白十字头盔 | 脸,CLDR release-46 annotations
⛓,chains,链条,chain | chains,铁链 | 链 | 链条 | 锁链,CLDR release-46 annotations
⛔,no entry,禁止通行,do | entry | fail | forbidden | no | not | pass | prohibited | traffic,交通 | 禁止入内 | 禁止通行 | 禁行 | 请勿入内 | 请勿驶入,CLDR release-46 annotations
⛩,shinto shrine,神社,religion | shinto | shrine,宗教 | 日本 | 神社 | 神道教,CLDR release-46 annotations
⛪,church,教堂,bless | chapel | Christian | church | cross | religion,基督 | 基督教 | 宗教 | 小教堂 | 教堂,CLDR release-46 annotations
⛰,mountain,山,mountain,山 | 峰,CLDR release-46 annotations
⛱,umbrella on ground,阳伞,ground | rain | sun | umbrella,下雨 | 伞 | 地上的阳伞 | 太阳 | 阳伞,CLDR release-46 annotations
⛲,fountain,喷泉,fountain,喷泉,CLDR release-46 annotations
⛳,flag in hole,高尔夫球洞,flag | golf | hole | sport,果岭 | 果岭旗 | 球洞 | 高尔夫 | 高尔夫球洞 | 高球,CLDR release-46 annotations
⛴,ferry,渡轮,boat | ferry | passenger,旅客 | 渡船 | 渡轮 | 轮船,CLDR release-46 annotations
⛵,sailboat,帆船,boat | resort | sailboat | sailing | sea | yacht,帆船 | 游艇 | 船 | 驾帆船,CLDR release-46 annotations
⛷,skier,滑雪的人,ski | skier | snow,滑雪 | 滑雪的人 | 雪,CLDR release-46 annotations
⛸,ice skate,滑冰,ice | skate | skating,冰刀 | 溜冰 | 滑冰,CLDR release-46 annotations
⛹,person bouncing ball,玩球,athletic | ball | basketball | bouncing | championship | dribble | net | person | player | throw,体育 | 全网无阻 | 打球 | 游戏 | 玩 | 玩球 | 球 | 篮球 | 篮球运动员 | 罚球 | 运动 | 运球 | 锦标赛,CLDR release-46 annotations
⛺,tent,帐篷,camping | tent,帐篷 | 露营,CLDR release-46 annotations
⛽,fuel pump,油泵,diesel | fuel | fuelpump | gas | gasoline | pump | station,加油 | 加油站 | 柴油 | 油泵 | 燃料 | 燃油,CLDR release-46 annotations
✂,scissors,剪刀,cut | cutting | paper | scissors | tool,修剪 | 剪 | 剪刀 | 剪子 | 剪裁 | 工具,CLDR release-46 annotations
✅,check mark button,勾号按钮,✓ | button | check | checked | checkmark | complete | completed | done | fixed | mark | tick,勾 | 勾号 | 勾号按钮 | 完成 | 打勾 | 按钮 | 绿色打勾,CLDR release-46 annotations
✈,airplane,飞机,aeroplane | airplane | fly | flying | jet | plane | travel,喷气机 | 旅行 | 飞机 | 飞行,CLDR release-46 annotations
✉,envelope,信封,e-mail | email | envelope | letter,信件 | 信封 | 信息 | 来信 | 电子邮件 | 电邮 | 邮件,CLDR release-46 annotations
✊,raised fist,举起拳头,clenched | fist | hand | punch | raised | solidarity,举拳 | 举起拳头 | 团结 | 手 | 拳头 | 握拳,CLDR release-46 annotations
✋,raised hand,举起手,5 | five | hand | high | raised | stop,举手 | 举起手 | 举起的手 | 五指 | 停 | 击掌 | 手,CLDR release-46 annotations
✌,victory hand,胜利手势,hand | peace | v | victory,V | 和平 | 成功 | 手 | 胜利 | 胜利手势,CLDR release-46 annotations
✍,writing hand,写字,hand | write | writing,写 | 写字 | 手 | 笔,CLDR release-46 annotations
✏,pencil,铅笔,pencil,橡皮 | 橡皮擦 | 画画 | 画笔 | 笔 | 绘画 | 铅笔,CLDR release-46 annotations
✒,black nib,钢笔尖,black | nib | pen,写字 | 硬笔 | 笔 | 笔尖 | 钢笔 | 钢笔尖 | 黑色笔尖,CLDR release-46 annotations
✔,check mark,勾号,✓ | check | checked | checkmark | done | heavy | mark | tick,勾号 | 对勾 | 打勾 | 正确 | 符号,CLDR release-46 annotations
✖,multiply,乘,× | cancel | multiplication | multiply | sign | x,x | 乘 | 乘号 | 取消 | 相乘 | 符号,CLDR release-46 annotations
✝,latin cross,十字架,christ | Christian | cross | latin | religion,十字架 | 基督 | 天主教 | 宗教,CLDR release-46 annotations
✡,star of David,六芒星,David | Jew | Jewish | judaism | religion | star,六芒星 | 六角星 | 大卫之星 | 大卫星 | 宗教 | 犹太 | 犹太教,CLDR release-46 annotations
✨,sparkles,闪亮,* | magic | sparkle | sparkles | star,星星 | 火花 | 闪亮 | 闪光 | 闪耀,CLDR release-46 annotations
✳,eight-spoked asterisk,八轮辐星号,* | asterisk | eight-spoked,八芒星 | 八轮辐星号 | 星号,CLDR release-46 annotations
✴,eight-pointed star,八角星,* | eight-pointed | star,八角星 | 星 | 符号,CLDR release-46 annotations
❄,snowflake,雪花,cold | snow | snowflake | weather,冷 | 天气 | 雪 | 雪花,CLDR release-46 annotations
❇,sparkle,火花,* | sparkle,火花 | 烟火 | 闪光 | 闪耀,CLDR release-46 annotations
❌,cross mark,叉号,× | cancel | cross | mark | multiplication | multiply | x,x | 乘 | 交叉 | 叉号 | 取消 | 相乘 | 符号,CLDR release-46 annotations
❎,cross mark button,叉号按钮,× | button | cross | mark | multiplication | multiply | square | x,乘 | 乘号 | 叉 | 叉号按钮 | 取消 | 方形,CLDR release-46 annotations
❓,red question mark,红色问号,? | mark | punctuation | question | red,为什么 | 标点 | 标点符号 | 疑问 | 红色问号 | 问号,CLDR release-46 annotations
❔,white question mark,白色问号,? | mark | outlined | punctuation | question | white,？ | 为什么 | 标点符号 | 白色问号 | 空心 | 空心问号 | 问号 | 问题,CLDR release-46 annotations
❕,white exclamation mark,白色感叹号,! | exclamation | mark | outlined | punctuation | white,！ | 叹号 | 吃惊 | 标点符号 | 白色叹号 | 白色感叹号 | 空心 | 空心叹号,CLDR release-46 annotations
❗,red exclamation mark,红色感叹号,! | exclamation | mark | punctuation | red,！ | 叹号 | 吃惊 | 惊讶 | 感叹 | 感叹号 | 标点符号 | 红色感叹号,CLDR release-46 annotations
❣,heart exclamation,心叹号,exclamation | heart | heavy | mark | punctuation,叹号 | 心动 | 心叹号 | 标点符号,CLDR release-46 annotations
❤,red heart,红心,emotion | heart | love | red,心 | 爱 | 红心,CLDR release-46 annotations
➕,plus,加,+ | plus,加 | 加号 | 十字 | 数学 | 相加 | 符号,CLDR release-46 annotations
➖,minus,减,- | − | heavy | math | minus | sign,减 | 减号 | 数学 | 横线 | 符号,CLDR release-46 annotations
➗,divide,除,÷ | divide | division | heavy | math | sign,数学 | 相除 | 符号 | 除 | 除号,CLDR release-46 annotations
➡,right arrow,向右箭头,arrow | cardinal | direction | east | right,东 | 右 | 向右箭头 | 方向 | 标识 | 箭头,CLDR release-46 annotations
➰,curly loop,卷曲环,curl | curly | loop,单环 | 卷曲环 | 日本单环标志 | 标志,CLDR release-46 annotations
➿,double curly loop,双卷曲环,curl | curly | double | loop,免费电话 | 双卷曲环 | 双环 | 日本免费电话标志 | 标志,CLDR release-46 annotations
⤴,right arrow curving up,右上弯箭头,arrow | curving | right | up,右上弯 | 右上弯箭头 | 向上弯曲的右箭头 | 箭头,CLDR release-46 annotations
⤵,right arrow curving down,右下弯箭头,arrow | curving | down | right,右下弯 | 右下弯箭头 | 向下弯曲的右箭头 | 箭头,CLDR release-46 annotations
⨧,plus subscript two,带下标二的加号,plus | subscript | two,带下标二的加号,CLDR release-46 annotations
⨯,vector cross product,向量叉乘,cross | product | vector,向量叉乘,CLDR release-46 annotations
⨼,interior product,内积,interior | product,内积,CLDR release-46 annotations
⩣,logical or double underbar,带双底线的逻辑或,double | logical | or | underbar,带双底线的逻辑或,CLDR release-46 annotations
⩽,less-than slanted equal,小于或倾斜等于,equal | less-than | slanted,小于或倾斜等于,CLDR release-46 annotations
⪍,less-than above similar equal,小于或相似,above | equal | less-than | similar,小于或相似,CLDR release-46 annotations
⪚,double-line equal greater-than,双线等于或大于,double-line | equal | greater-than | inequality | mathematics,双线等于或大于,CLDR release-46 annotations
⪺,succeeds above not almost equal,后于或不约等于,above | almost | equal | not | succeeds,后于或不约等于,CLDR release-46 annotations
⬅,left arrow,向左箭头,arrow | cardinal | direction | left | west,向左箭头 | 左 | 方向 | 标识 | 箭头 | 西,CLDR release-46 annotations
⬆,up arrow,向上箭头,arrow | cardinal | direction | north | up,上 | 北 | 向上箭头 | 方位 | 方向 | 标识 | 箭头,CLDR release-46 annotations
⬇,down arrow,向下箭头,arrow | cardinal | direction | down | south,南 | 向下 | 向下箭头 | 基本 | 方位 | 正南 | 箭头,CLDR release-46 annotations
⬛,black large square,黑线大方框,black | geometric | large | square,大 | 方形 | 正方形 | 黑线大方框 | 黑色 | 黑色大方形,CLDR release-46 annotations
⬜,white large square,白线大方框,geometric | large | square | white,大 | 方形 | 正方形 | 白线大方框 | 白色 | 白色方块,CLDR release-46 annotations
⭐,star,星星,astronomy | medium | star | stars | white,五角星 | 星星 | 白色星星,CLDR release-46 annotations
⭕,hollow red circle,红色空心圆圈,circle | heavy | hollow | large | o | red,0 | O形 | 圆圈 | 大 | 大圆圈 | 红 | 红色空心圆圈 | 零,CLDR release-46 annotations
、,ideographic comma,顿号,comma | ideographic,顿号,CLDR release-46 annotations
。,ideographic period,表意文字的句号,full | ideographic | period | stop,句号 | 表意文字 | 表意文字的句号,CLDR release-46 annotations
〈,open angle bracket,左尖括号,angle | bracket | brackets | chevron | diamond | open | pointy | tuple,人字形标记 | 元组 | 尖括号 | 尖角括号 | 左尖括号 | 括号 | 菱形括号,CLDR release-46 annotations
〉,close angle bracket,右尖括号,angle | bracket | brackets | chevron | close | diamond | pointy | tuple,人字形标记 | 元组 | 右尖括号 | 尖括号 | 尖角括号 | 括号 | 菱形括号,CLDR release-46 annotations
《,open double angle bracket,左双尖括号,angle | bracket | double | open,双尖括号 | 左双尖括号 | 括号,CLDR release-46 annotations
》,close double angle bracket,右双尖括号,angle | bracket | close | double,双尖括号 | 右双尖括号 | 括号,CLDR release-46 annotations
「,open corner bracket,左角括号,bracket | corner | open,左角括号 | 方括号 | 角括号,CLDR release-46 annotations
」,close corner bracket,右角括号,bracket | close | corner,右角括号 | 方括号 | 角括号,CLDR release-46 annotations
『,open hollow corner bracket,左中空角括号,bracket | corner | hollow | open,中空角括号 | 左中空角括号 | 方括号,CLDR release-46 annotations
』,close hollow corner bracket,右中空角括号,bracket | close | corner | hollow,中空角括号 | 右中空角括号 | 方括号,CLDR release-46 annotations
【,open black lens bracket,左黑色透镜状方括号,black | bracket | lens | lenticular | open,左黑色透镜状方括号 | 方括号 | 荚状方括号 | 透镜状方括号,CLDR release-46 annotations
】,close black lens bracket,右黑色透镜状方括号,black | bracket | close | lens | lenticular,右黑色透镜状方括号 | 方括号 | 荚状方括号 | 透镜状方括号,CLDR release-46 annotations
〔,open tortoise shell bracket,左六角括号,bracket | open | shell | tortoise,六角括号 | 左六角括号 | 括号 | 龟壳形括号,CLDR release-46 annotations
〕,close tortoise shell bracket,右六角括号,bracket | close | shell | tortoise,六角括号 | 右六角括号 | 括号 | 龟壳形括号,CLDR release-46 annotations
〖,open hollow lens bracket,左中空透镜状方括号,bracket | hollow | lens | lenticular | open,中空荚状方括号 | 中空透镜状方括号 | 左中空透镜状方括号 | 方括号,CLDR release-46 annotations
〗,close hollow lens bracket,右中空透镜状方括号,bracket | close | hollow | lens | lenticular,中空荚状方括号 | 中空透镜状方括号 | 右中空透镜状方括号 | 方括号,CLDR release-46 annotations
〰,wavy dash,波浪型破折号,dash | punctuation | wavy,标点符号 | 波浪型破折号 | 波浪线 | 浪花 | 象声号,CLDR release-46 annotations
〽,part alternation mark,庵点,alternation | mark | part,庵点 | 开始歌唱 | 歌记号 | 符号,CLDR release-46 annotations
・,katakana middle dot,片假名间隔号,dot | dots | interpunct | katakana | middle | middot,圆点 | 片假名 | 片假名间隔号 | 间隔号,CLDR release-46 annotations
㊗,Japanese “congratulations” button,日文的“祝贺”按钮,button | congratulations | ideograph | Japanese,庆贺 | 按键 | 日文 | 日文的“祝贺”按钮 | 日本 | 祝 | 祝福 | 祝贺 | 表意文字,CLDR release-46 annotations
㊙,Japanese “secret” button,日文的“秘密”按钮,button | ideograph | Japanese | secret,保密 | 按键 | 日文 | 日文的“秘密”按钮 | 日本 | 秘 | 秘密 | 表意文字,CLDR release-46 annotations
﷼,rial,里亚尔,currency | rial,里亚尔,CLDR release-46 annotations
🀄,mahjong red dragon,红中,dragon | game | mahjong | red,方城之战 | 牌局 | 红中 | 麻将 | 麻将红中,CLDR release-46 annotations
🃏,joker,大小王,card | game | joker | wildcard,大小王 | 大王 | 小丑 | 小王 | 扑克 | 扑克小丑 | 牌 | 百搭牌 | 鬼牌,CLDR release-46 annotations
🅰,A button (blood type),A型血,blood | button | type,a | A型血 | 字母a | 按钮 | 血型 | 血液,CLDR release-46 annotations
🅱,B button (blood type),B型血,B | blood | button | type,b | B | B型血 | 按钮 | 血型 | 血液,CLDR release-46 annotations
🅾,O button (blood type),O 型血,blood | button | O | type,o | O 型血 | O型血 | 字母o | 按钮 | 血型 | 血液,CLDR release-46 annotations
🅿,P button,停车按钮,button | P | parking,p | 停车 | 停车按钮 | 按键 | 泊车,CLDR release-46 annotations
🆎,AB button (blood type),AB型血,AB | blood | button | type,ab | AB型血 | 字母ab | 按钮 | 血型 | 血液,CLDR release-46 annotations
🆑,CL button,CL按钮,button | CL,cl | CL按钮 | 手机 | 清理 | 清除,CLDR release-46 annotations
🆒,COOL button,cool按钮,button | COOL,cool | cool按钮 | 按键 | 酷,CLDR release-46 annotations
🆓,FREE button,免费按钮,button | FREE,free | 不收费 | 免费 | 免费按钮 | 按钮 | 自由,CLDR release-46 annotations
🆔,ID button,ID按钮,button | ID | identity,id | ID按钮 | 按键 | 识别 | 身份,CLDR release-46 annotations
🆕,NEW button,new按钮,button | NEW,new按钮 | 按键 | 新 | 新的,CLDR release-46 annotations
🆖,NG button,NG按钮,button | NG,ng | NG按钮 | 按钮 | 按键 | 花絮,CLDR release-46 annotations
🆗,OK button,OK按钮,button | OK | okay,OK | ok按钮 | OK按钮 | 同意 | 按键,CLDR release-46 annotations
🆘,SOS button,SOS按钮,button | help | SOS,sos | SOS | SOS按钮 | 按键 | 救命 | 求救 | 求救钮,CLDR release-46 annotations
🆙,UP! button,up按钮,button | mark | UP | UP!,up | up按钮 | 向上 | 按键,CLDR release-46 annotations
🆚,VS button,VS按钮,button | versus | VS,vs | VS | VS按钮 | 对 | 对决 | 按键,CLDR release-46 annotations
🈁,Japanese “here” button,日文的“这里”按钮,button | here | Japanese | katakana,koko | 按键 | 日文 | 日文的“这里”按钮 | 日语 | 此处 | 片假名 | 这里,CLDR release-46 annotations
🈂,Japanese “service charge” button,日文的“服务费”按钮,button | charge | Japanese | katakana | service,sa | 按键 | 收费 | 日文 | 日文sa | 日文的“服务费”按钮 | 日语 | 服务 | 服务费 | 片假名,CLDR release-46 annotations
🈚,Japanese “free of charge” button,日文的“免费”按钮,button | charge | free | ideograph | Japanese,免费 | 免钱 | 按键 | 无 | 日文 | 日文的“免费”按钮 | 日本 | 表意文字,CLDR release-46 annotations
🈯,Japanese “reserved” button,日文的“预留”按钮,button | ideograph | Japanese | reserved,保留 | 指 | 按键 | 日文 | 日文的“预留”按钮 | 日本 | 表意文字 | 预定 | 预订,CLDR release-46 annotations
🈲,Japanese “prohibited” button,日文的“禁止”按钮,button | ideograph | Japanese | prohibited,严禁 | 按键 | 日文 | 日文的“禁止”按钮 | 日本 | 禁 | 表意文字,CLDR release-46 annotations
🈳,Japanese “vacancy” button,日文的“有空位”按钮,button | ideograph | Japanese | vacancy,日文 | 日文的“有空位”按钮 | 日本 | 日语 | 有空位 | 空 | 空位 | 空闲 | 表意文字,CLDR release-46 annotations
🈴,Japanese “passing grade” button,日文的“合格”按钮,button | grade | ideograph | Japanese | passing,及格 | 合 | 按键 | 日文 | 日文的“合格”按钮 | 日本 | 表意文字 | 过关 | 通过,CLDR release-46 annotations
🈵,Japanese “no vacancy” button,日文的“没有空位”按钮,button | ideograph | Japanese | no | vacancy,座位 | 按键 | 日文 | 日文的“没有空位”按钮 | 日本 | 满 | 表意文字,CLDR release-46 annotations
🈶,Japanese “not free of charge” button,日文的“收费”按钮,button | charge | free | ideograph | Japanese | not,按键 | 日文 | 日文的“收费”按钮 | 日本 | 有 | 有料 | 表意文字 | 要收费 | 费用,CLDR release-46 annotations
🈷,Japanese “monthly amount” button,日文的“月总量”按钮,amount | button | ideograph | Japanese | monthly,按键 | 日文 | 日文的“月总量”按钮 | 日本 | 月 | 月度 | 统计 | 表意文字,CLDR release-46 annotations
